ts,visitor_uuid,visitor_source,visitor_device,visitor_useragent,visitor_ip,visitor_country,visitor_referrer,env_type,env_doc_id,event_type,subject_type,subject_doc_id,subject_page,cause_type,event_readtime,env_ranking,env_build,env_name,env_component,visitor_username,event_index,subject_infoboxid,subject_url,cause_position,cause_adid,env_adid,cause_embedid
1393631983,04daa9ed9dde73d3,external,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",6a3273d508a9de04,ES,64f729926497515c,reader,140224195414-e5a9acedd5eb6631bb6b39422fba6798,impression,doc,140224195414-e5a9acedd5eb6631bb6b39422fba6798,0.0,impression,,,,,,,,,,,,,
1393631983,04daa9ed9dde73d3,external,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",6a3273d508a9de04,ES,64f729926497515c,reader,140224195414-e5a9acedd5eb6631bb6b39422fba6798,impression,doc,140224195414-e5a9acedd5eb6631bb6b39422fba6798,1.0,page,,,,,,,,,,,,,
1393631983,ade7e1f63bc83c66,external,browser,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16,b5af0ba608ab307c,BR,53c643c16e8253e7,reader,140222143932-91796b01f94327ee809bd759fd0f6c76,pagereadtime,doc,140222143932-91796b01f94327ee809bd759fd0f6c76,2.0,,1035.0,,,,,,,,,,,,
1393631983,ade7e1f63bc83c66,external,browser,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16,b5af0ba608ab307c,BR,53c643c16e8253e7,reader,140222143932-91796b01f94327ee809bd759fd0f6c76,pagereadtime,doc,140222143932-91796b01f94327ee809bd759fd0f6c76,3.0,,1010.0,,,,,,,,,,,,
1393631983,232eeca785873d35,internal,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",fcf9c67037f993f0,MX,63765fcd2ff864fd,stream,,impression,doc,100713205147-2ee05a98f1794324952eea5ca678c026,1.0,,,10.0,1.7.118-b946,explore,editors_picks,,,,,,,,
1393631983,232eeca785873d35,internal,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",fcf9c67037f993f0,MX,63765fcd2ff864fd,stream,,impression,doc,140227072831-649625805917e1f042bdb1f645d588ff,1.0,,,12.0,1.7.118-b946,explore,solr_category,,,,,,,,
1393631983,232eeca785873d35,internal,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",fcf9c67037f993f0,MX,63765fcd2ff864fd,stream,,impression,doc,140101080405-6e5e88732ba9a4cb392c512322ec12b5,1.0,,,11.0,1.7.118-b946,explore,user_recommender,,,,,,,,
1393631983,232eeca785873d35,internal,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",fcf9c67037f993f0,MX,63765fcd2ff864fd,stream,,impression,doc,140129035743-7c00ce6256d9fd9f78ef6d1cac869d60,1.0,,,13.0,1.7.118-b946,explore,user_recommender,,,,,,,,
1393631983,232eeca785873d35,internal,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",fcf9c67037f993f0,MX,63765fcd2ff864fd,stream,,impression,doc,140128221921-4c304a111b9e0a3425f419563ad6e29a,1.0,,,15.0,1.7.118-b946,explore,user_recommender,,,,,,,,
1393631983,232eeca785873d35,internal,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",fcf9c67037f993f0,MX,63765fcd2ff864fd,stream,,impression,doc,140228142350-9f269f7cc77eed6045f5930e276d280d,1.0,,,14.0,1.7.118-b946,explore,solr_category,,,,,,,,
1393631983,f1396ebc2c1cb722,external,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",4836fcfbcbf72087,IT,64f729926497515c,reader,140107093723-c8ea2ac1d6ac55ba74c5c6243201b1ce,impression,doc,140107093723-c8ea2ac1d6ac55ba74c5c6243201b1ce,12.0,page,,,,,,,,,,,,,
1393631983,1d87b7c9c07dc8f8,external,browser,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),49d0b6e1a288a94b,JP,64f729926497515c,reader,130325130327-d5889c2cf2e642b6867cb9005e12297f,impression,doc,130325130327-d5889c2cf2e642b6867cb9005e12297f,0.0,impression,,,,,,,,,,,,,
